,nombres,distancia
30,pueblo,0.0
8,ciudad,0.3931737364577473
161,localidad,0.4320476629169649
65,isla,0.5425605699687789
69,municipio,0.565469904060226
146,distrito,0.5725667476394586
285,lago,0.579249844319231
470,parroquia,0.5802836157940987
180,individuo,0.6048969964041827
31,país,0.0
2251,Dinamarca,0.6571307589747718
185,España,0.681299347478911
57,mujer,0.7524143526245619
1012,Colombia,0.7607496373231841
180,individuo,0.7714556372815821
1021,China,0.7742344108046918
146,distrito,0.7925793667423298
1813,Uruguay,0.7986173982711091
32,programa,0.0
18,serie,0.6391754293914397
125,canal,0.7082445255793682
403,capítulo,0.7479485476560198
152,cadena,0.8167951229933996
3854,teleserie,0.8488041677532996
1774,sábado,0.8720359223623219
756,show,0.8929968339236262
1417,anime,0.8999344136535038
33,proyecto,0.0
249,plan,0.778789702390348
46,movimiento,0.7915390625586999
163,formación,0.7943940085720071
60,proceso,0.8233985351445455
387,campaña,0.8389499648723014
147,publicación,0.8425555967849755
396,grabación,0.8544658762339143
597,recorrido,0.8655447155064487
34,libro,0.0
118,novela,0.4771533214054426
356,volumen,0.5148570597188544
2322,tomo,0.5559368801320791
780,editorial,0.5776917667595298
383,diario,0.5831707527807751
87,revista,0.6264565617388566
3384,poemario,0.6512281759083741
158,artículo,0.6552553479987118
35,jugador,0.0
57,mujer,0.8081926699352754
38,hermano,0.8351882903277333
25,hombre,0.8384290094654084
1684,Canadá,0.8623236762401506
141,Estados,0.8632180294489206
31,país,0.8721217290810845
229,pareja,0.8761190945127096
185,España,0.8801608440628841
36,año,0.0
3645,asteroide,0.5546664305297584
1617,Obispo,0.6318708091431398
3012,ministra,0.6344428061532709
110,ministro,0.67134539008256
728,arzobispo,0.7857298052381153
1454,consejero,0.79348081962642
485,secretario,0.7996793696593848
365,papa,0.8225183766704112
37,compañía,0.0
29,empresa,0.38338865103463343
155,institución,0.721260526228665
345,universidad,0.7649078140426957
213,Universidad,0.7675264416708577
199,sociedad,0.7741834635712471
972,instituto,0.7909971502196784
880,aerolínea,0.7961678317721687
436,banco,0.7981429094638087
38,hermano,0.0
57,mujer,0.5698749229182744
25,hombre,0.604788739732638
19,población,0.6281961638731736
146,distrito,0.6284645486528938
476,condado,0.6491025401238232
180,individuo,0.6546923651914961
1210,estreno,0.6641073744469724
229,pareja,0.6708838478872251
39,presidente,0.0
485,secretario,0.6745678217082088
498,alcalde,0.6945919455838562
110,ministro,0.7060034619943185
